Symbol,Date,Open,Low,High,Close,Volume
AAPL,2017-01-02,115.82,115.82,115.82,115.82,0
AAPL,2017-01-03,115.8,114.76,116.33,116.15,28781865
AAPL,2017-01-04,115.85,115.75,116.51,116.02,21118116
AAPL,2017-01-05,115.92,115.81,116.8642,116.61,22193587
AAPL,2017-01-06,116.78,116.47,118.16,117.91,31751900
AAPL,2017-01-09,117.95,117.94,119.43,118.99,33561948
AAPL,2017-01-10,118.77,118.3,119.38,119.11,24462051
AAPL,2017-01-11,118.74,118.6,119.93,119.75,27588593
AAPL,2017-01-12,118.895,118.21,119.3,119.25,27086220
AAPL,2017-01-13,119.11,118.81,119.62,119.04,26111948
AAPL,2017-01-16,119.04,119.04,119.04,119.04,0
AAPL,2017-01-17,118.34,118.22,120.24,120.0,34439843
AAPL,2017-01-18,120.0,119.71,120.5,119.99,23712961
AAPL,2017-01-19,119.4,119.37,120.09,119.78,25597291
AAPL,2017-01-20,120.45,119.7346,120.45,120.0,32597892
AAPL,2017-01-23,120.0,119.77,120.81,120.08,22050218
AAPL,2017-01-24,119.55,119.5,120.1,119.97,23211038
AAPL,2017-01-25,120.42,120.28,122.1,121.88,32586672
AAPL,2017-01-26,121.67,121.6,122.44,121.94,26337576
AAPL,2017-01-27,122.14,121.6,122.35,121.95,20562944
AAPL,2017-01-30,120.93,120.66,121.63,121.63,30377503
AAPL,2017-01-31,121.15,120.62,121.39,121.35,49200993
AAPL,2017-02-01,127.03,127.01,130.49,128.75,111985040
AAPL,2017-02-02,127.975,127.78,129.39,128.53,33710411
AAPL,2017-02-03,128.31,128.16,129.19,129.08,24507301
AAPL,2017-02-06,129.13,128.9,130.5,130.29,26845924
AAPL,2017-02-07,130.54,130.45,132.09,131.53,38183841
AAPL,2017-02-08,131.35,131.22,132.22,132.04,22941341
AAPL,2017-02-09,131.65,131.12,132.445,132.42,28349859
AAPL,2017-02-10,132.46,132.05,132.94,132.12,20065458
AAPL,2017-02-13,133.08,132.75,133.82,133.29,23035421
AAPL,2017-02-14,133.47,133.25,135.09,135.02,33226222
AAPL,2017-02-15,135.52,134.62,136.27,135.51,35623100
AAPL,2017-02-16,135.67,134.8398,135.9,135.345,22584555
AAPL,2017-02-17,135.1,135.1,135.83,135.72,22198197
AAPL,2017-02-20,135.72,135.72,135.72,135.72,0
AAPL,2017-02-21,136.23,135.98,136.75,136.7,24507156
AAPL,2017-02-22,136.43,136.11,137.12,137.11,20836932
AAPL,2017-02-23,137.38,136.3,137.48,136.53,20788186
AAPL,2017-02-24,135.91,135.28,136.66,136.66,21776585
AAPL,2017-02-27,137.14,136.28,137.435,136.93,20257426
AAPL,2017-02-28,137.08,136.7,137.435,136.99,23482860
AAPL,2017-03-01,137.89,137.595,140.15,139.79,36414585
AAPL,2017-03-02,140.0,138.76,140.2786,138.96,26210984
AAPL,2017-03-03,138.78,138.59,139.83,139.78,21571121
AAPL,2017-03-06,139.365,138.5959,139.77,139.34,21750044
AAPL,2017-03-07,139.06,138.79,139.98,139.52,17446297
AAPL,2017-03-08,138.95,138.82,139.8,139.0,18707236
AAPL,2017-03-09,138.74,137.05,138.79,138.68,22155904
AAPL,2017-03-10,139.25,138.64,139.3571,139.14,19612801
AAPL,2017-03-13,139.16,138.82,139.43,139.2,17421717
AAPL,2017-03-14,139.3,138.84,139.65,138.99,15309065
AAPL,2017-03-15,139.41,139.025,140.7501,140.46,25691774
AAPL,2017-03-16,140.72,140.26,141.02,140.69,19231998
AAPL,2017-03-17,141.0,139.89,141.0,139.99,43884952
AAPL,2017-03-20,140.4,140.23,141.5,141.46,21542038
AAPL,2017-03-21,142.11,139.73,142.8,139.84,39529912
AAPL,2017-03-22,139.845,139.76,141.6,141.42,25860165
AAPL,2017-03-23,141.26,140.61,141.5844,140.92,20346301
AAPL,2017-03-24,141.5,140.35,141.74,140.64,22395563
AAPL,2017-03-27,139.39,138.62,141.22,140.88,23575094
AAPL,2017-03-28,140.91,140.62,144.04,143.8,33374805
AAPL,2017-03-29,143.68,143.19,144.49,144.12,29189955
AAPL,2017-03-30,144.19,143.5,144.5,143.93,21207252
AAPL,2017-03-31,143.72,143.01,144.27,143.66,19661651
AAPL,2017-04-03,143.71,143.05,144.12,143.7,19985714
AAPL,2017-04-04,143.25,143.17,144.89,144.77,19891354
AAPL,2017-04-05,144.22,143.81,145.46,144.02,27717854
AAPL,2017-04-06,144.29,143.45,144.52,143.66,21149034
AAPL,2017-04-07,143.73,143.27,144.18,143.34,16672198
AAPL,2017-04-10,143.6,142.9,143.8792,143.17,18933397
AAPL,2017-04-11,142.94,140.06,143.35,141.63,30379376
AAPL,2017-04-12,141.6,141.01,142.15,141.8,20350000
AAPL,2017-04-13,141.91,141.05,142.38,141.05,17822880
AAPL,2017-04-14,141.05,141.05,141.05,141.05,0
AAPL,2017-04-17,141.48,140.87,141.88,141.83,16582094
AAPL,2017-04-18,141.41,141.11,142.04,141.2,14697544
AAPL,2017-04-19,141.88,140.45,142.0,140.68,17328375
AAPL,2017-04-20,141.22,141.16,142.92,142.44,23319562
AAPL,2017-04-21,142.44,141.85,142.68,142.27,17320928
AAPL,2017-04-24,143.5,143.18,143.95,143.64,17134333
AAPL,2017-04-25,143.91,143.87,144.9,144.53,18848191
AAPL,2017-04-26,144.47,143.3762,144.6,143.68,20041241
AAPL,2017-04-27,143.9225,143.31,144.16,143.79,14246347
AAPL,2017-04-28,144.09,143.27,144.3,143.65,20860358
AAPL,2017-05-01,145.1,144.96,147.2,146.58,33602943
AAPL,2017-05-02,147.54,146.84,148.09,147.51,45352194
AAPL,2017-05-03,145.59,144.27,147.49,147.06,45697034
AAPL,2017-05-04,146.52,145.81,147.14,146.53,23371872
AAPL,2017-05-05,146.76,146.76,148.98,148.96,27327725
AAPL,2017-05-08,149.03,149.03,153.7,153.01,48752413
AAPL,2017-05-09,153.87,153.45,154.88,153.99,39130363
AAPL,2017-05-10,153.63,152.11,153.94,153.26,25805692
AAPL,2017-05-11,152.45,152.31,154.07,153.95,27255058
AAPL,2017-05-12,154.7,154.67,156.42,156.1,32527017
AAPL,2017-05-15,156.01,155.05,156.65,155.7,26009719
AAPL,2017-05-16,155.94,154.72,156.06,155.47,20048478
AAPL,2017-05-17,153.6,149.71,154.57,150.25,50767678
AAPL,2017-05-18,151.27,151.13,153.34,152.54,33568215
AAPL,2017-05-19,153.38,152.63,153.98,153.06,26960788
AAPL,2017-05-22,154.0,152.91,154.58,153.99,22966437
AAPL,2017-05-23,154.9,153.31,154.9,153.8,19918871
AAPL,2017-05-24,153.84,152.67,154.17,153.34,19219154
AAPL,2017-05-25,153.73,153.03,154.35,153.87,19235598
AAPL,2017-05-26,154.0,153.31,154.24,153.61,21927637
AAPL,2017-05-29,153.61,153.61,153.61,153.61,0
AAPL,2017-05-30,153.42,153.33,154.43,153.67,20126851
AAPL,2017-05-31,153.97,152.38,154.17,152.76,24451164
AAPL,2017-06-01,153.17,152.22,153.33,153.18,16404088
AAPL,2017-06-02,153.58,152.89,155.45,155.45,27770715
AAPL,2017-06-05,154.34,153.46,154.45,153.93,25331662
AAPL,2017-06-06,153.9,153.78,155.81,154.45,26624926
AAPL,2017-06-07,155.02,154.48,155.98,155.37,21069647
AAPL,2017-06-08,155.25,154.4,155.54,154.99,21250798
AAPL,2017-06-09,155.19,146.02,155.19,148.98,64882656
AAPL,2017-06-12,145.74,142.51,146.09,145.42,72307330
AAPL,2017-06-13,147.16,145.15,147.45,146.59,34165445
AAPL,2017-06-14,147.5,143.84,147.5,145.16,31531232
AAPL,2017-06-15,143.32,142.21,144.4798,144.29,32165373
AAPL,2017-06-16,143.78,142.2,144.5,142.27,50361093
AAPL,2017-06-19,143.66,143.66,146.74,146.34,32541404
AAPL,2017-06-20,146.87,144.94,146.87,145.01,24900073
AAPL,2017-06-21,145.52,144.61,146.0693,145.87,21265751
AAPL,2017-06-22,145.77,145.1199,146.7,145.63,19106294
AAPL,2017-06-23,145.13,145.11,147.16,146.28,35439389
AAPL,2017-06-26,147.17,145.38,148.28,145.82,25692361
AAPL,2017-06-27,145.01,143.62,146.16,143.73,24761891
AAPL,2017-06-28,144.49,143.1601,146.11,145.83,22082432
AAPL,2017-06-29,144.71,142.28,145.13,143.68,31499368
AAPL,2017-06-30,144.45,143.78,144.96,144.02,23024107
AAPL,2017-07-03,144.88,143.1,145.3001,143.5,14277848
