,Symbol,Date,Close,High,Low,Open,Volume
0,FB,2017-01-02,115.05,115.05,115.05,115.05,0
1,FB,2017-01-03,116.86,117.84,115.51,116.03,20663912
2,FB,2017-01-04,118.69,119.66,117.29,117.55,19630932
3,FB,2017-01-05,120.67,120.95,118.3209,118.86,19492150
4,FB,2017-01-06,123.41,123.88,120.03,120.98,28545263
5,FB,2017-01-09,124.9,125.43,123.04,123.55,22880360
6,FB,2017-01-10,124.35,125.5,124.28,124.82,17324590
7,FB,2017-01-11,126.09,126.12,124.06,124.35,18356523
8,FB,2017-01-12,126.62,126.73,124.8,125.61,18653914
9,FB,2017-01-13,128.34,129.27,127.37,127.49,24884325
10,FB,2017-01-16,128.34,128.34,128.34,128.34,0
11,FB,2017-01-17,127.87,128.34,127.4,128.04,15294460
12,FB,2017-01-18,127.92,128.43,126.84,128.41,13145852
13,FB,2017-01-19,127.55,128.35,127.45,128.23,12195465
14,FB,2017-01-20,127.04,128.48,126.78,128.1,19097223
15,FB,2017-01-23,128.93,129.25,126.95,127.31,16593563
16,FB,2017-01-24,129.37,129.9,128.38,129.38,15162724
17,FB,2017-01-25,131.48,131.74,129.77,130.0,18777314
18,FB,2017-01-26,132.78,133.14,131.4401,131.63,20020141
19,FB,2017-01-27,132.18,132.95,131.08,132.68,19539514
20,FB,2017-01-30,130.98,131.58,129.6,131.58,18956095
21,FB,2017-01-31,130.32,130.66,129.5157,130.17,19790484
22,FB,2017-02-01,133.23,133.49,130.68,132.25,50139775
23,FB,2017-02-02,130.84,135.49,130.4,133.22,54366447
24,FB,2017-02-03,130.98,132.85,130.76,131.24,24804890
25,FB,2017-02-06,132.06,132.06,130.3,130.98,17058494
26,FB,2017-02-07,131.84,133.0,131.661,132.24,14596449
27,FB,2017-02-08,134.2,134.44,132.44,132.6,22390556
28,FB,2017-02-09,134.14,134.5,133.31,134.49,16470609
29,FB,2017-02-10,134.19,134.94,133.68,134.1,15061939
30,FB,2017-02-13,134.05,134.6975,133.7,134.6975,13526221
31,FB,2017-02-14,133.85,134.23,132.55,134.1,14364877
32,FB,2017-02-15,133.44,133.7,132.66,133.45,13226534
33,FB,2017-02-16,133.84,133.87,133.022,133.07,12831092
34,FB,2017-02-17,133.53,134.0912,133.17,133.5,12276490
35,FB,2017-02-20,133.53,133.53,133.53,133.53,0
36,FB,2017-02-21,133.72,133.91,132.9,133.5,14759109
37,FB,2017-02-22,136.12,136.79,133.46,133.6,27360092
38,FB,2017-02-23,135.36,136.12,134.33,135.89,18422549
39,FB,2017-02-24,135.44,135.62,134.16,134.16,12625742
40,FB,2017-02-27,136.41,137.1846,135.02,135.26,14306668
41,FB,2017-02-28,135.54,136.805,134.75,136.79,16112092
42,FB,2017-03-01,137.42,137.48,136.3,136.47,16257010
43,FB,2017-03-02,136.76,137.82,136.31,137.09,12294804
44,FB,2017-03-03,137.17,137.33,136.08,136.63,11160563
45,FB,2017-03-06,137.42,137.83,136.51,136.88,12748179
46,FB,2017-03-07,137.3,138.37,136.99,137.03,13527132
47,FB,2017-03-08,137.72,137.99,137.0516,137.15,10184514
48,FB,2017-03-09,138.24,138.57,137.4,137.72,15535259
49,FB,2017-03-10,138.79,139.49,138.22,138.91,16314112
50,FB,2017-03-13,139.6,139.68,138.6729,139.1401,10955450
51,FB,2017-03-14,139.32,139.46,138.52,139.46,12944018
52,FB,2017-03-15,139.72,140.1,138.49,139.29,19344826
53,FB,2017-03-16,139.99,140.25,139.73,140.2,13612942
54,FB,2017-03-17,139.84,140.34,139.7,140.34,20592818
55,FB,2017-03-20,139.94,140.19,139.25,139.71,12099471
56,FB,2017-03-21,138.51,142.3082,138.4,141.15,29894784
57,FB,2017-03-22,139.59,139.79,137.6,137.93,17055449
58,FB,2017-03-23,139.53,140.39,139.09,139.48,13022801
59,FB,2017-03-24,140.34,141.0244,139.76,140.08,16664683
60,FB,2017-03-27,140.32,140.65,138.77,139.05,12800544
61,FB,2017-03-28,141.76,141.95,140.01,140.36,14679436
62,FB,2017-03-29,142.65,142.86,141.43,141.99,16527574
63,FB,2017-03-30,142.41,142.95,141.85,142.4,12403997
64,FB,2017-03-31,142.05,142.63,141.89,142.31,11478265
65,FB,2017-04-03,142.28,142.47,140.82,141.93,13563960
66,FB,2017-04-04,141.73,142.09,141.27,141.86,12948599
67,FB,2017-04-05,141.85,143.44,141.29,142.26,17158059
68,FB,2017-04-06,141.17,142.22,140.91,142.11,15103426
69,FB,2017-04-07,140.78,141.55,140.24,141.2,11818341
70,FB,2017-04-10,141.04,141.43,140.63,141.0,9039366
71,FB,2017-04-11,139.92,141.0299,138.81,140.8,16638086
72,FB,2017-04-12,139.58,140.4,139.44,139.72,11612456
73,FB,2017-04-13,139.39,140.58,139.33,139.62,10965614
74,FB,2017-04-14,139.39,139.39,139.39,139.39,0
75,FB,2017-04-17,141.42,141.55,139.75,139.76,11519663
76,FB,2017-04-18,140.96,141.905,140.61,141.27,14807472
77,FB,2017-04-19,142.27,143.04,141.27,141.35,15563945
78,FB,2017-04-20,143.8,144.25,142.689,142.95,15968164
79,FB,2017-04-21,143.68,144.17,142.27,143.9,12382002
80,FB,2017-04-24,145.47,145.6738,144.34,144.96,14407175
81,FB,2017-04-25,146.49,147.15,145.7898,145.79,17747594
82,FB,2017-04-26,146.56,147.59,146.09,147.09,12394959
83,FB,2017-04-27,147.7,147.75,146.14,146.67,11275112
84,FB,2017-04-28,150.25,151.53,149.07,149.5,30652248
85,FB,2017-05-01,152.46,152.57,151.42,151.74,25218300
86,FB,2017-05-02,152.78,153.44,151.66,153.34,21870380
87,FB,2017-05-03,151.8,153.6,151.34,153.6,29782492
88,FB,2017-05-04,150.85,151.52,148.72,150.17,36225452
89,FB,2017-05-05,150.24,151.63,149.79,151.45,17148543
90,FB,2017-05-08,151.06,151.08,149.74,150.71,15827488
91,FB,2017-05-09,150.48,152.59,150.21,151.49,17453859
92,FB,2017-05-10,150.29,150.52,148.86,150.23,12080650
93,FB,2017-05-11,150.04,150.65,149.41,150.31,11841864
94,FB,2017-05-12,150.33,150.46,149.63,150.4,9598229
95,FB,2017-05-15,150.19,151.48,149.77,150.17,15064664
96,FB,2017-05-16,149.78,150.21,149.03,150.11,14550830
97,FB,2017-05-17,144.85,148.67,144.4216,148.0,28300050
98,FB,2017-05-18,147.66,148.15,144.51,144.72,23031566
99,FB,2017-05-19,148.06,149.39,147.96,148.445,16187892
100,FB,2017-05-22,148.24,148.59,147.69,148.08,12586712
101,FB,2017-05-23,148.07,148.81,147.25,148.52,12817837
102,FB,2017-05-24,150.04,150.23,148.42,148.51,17940668
103,FB,2017-05-25,151.96,152.59,149.95,150.3,19891352
104,FB,2017-05-26,152.13,152.25,151.15,152.23,14996185
105,FB,2017-05-29,152.13,152.13,152.13,152.13,0
106,FB,2017-05-30,152.38,152.9,151.64,151.97,13226007
107,FB,2017-05-31,151.46,153.35,151.09,152.7,18023917
108,FB,2017-06-01,151.53,152.29,150.3,151.75,14530600
109,FB,2017-06-02,153.61,153.63,151.3,151.85,16854365
110,FB,2017-06-05,153.63,154.7088,153.41,153.64,12520387
111,FB,2017-06-06,152.81,154.52,152.48,153.41,13457119
112,FB,2017-06-07,153.12,153.75,152.34,153.27,12066657
113,FB,2017-06-08,154.71,154.73,153.1,154.08,17799449
114,FB,2017-06-09,149.6,155.59,146.61,154.77,35577676
115,FB,2017-06-12,148.44,149.195,144.56,148.17,33170180
116,FB,2017-06-13,150.68,151.18,148.9,150.15,20483350
117,FB,2017-06-14,150.25,152.4,149.05,151.26,20808759
118,FB,2017-06-15,149.8,150.0366,146.3747,147.67,18994152
119,FB,2017-06-16,150.64,150.83,148.6,149.59,22882417
120,FB,2017-06-19,152.87,153.57,151.71,151.71,19026462
121,FB,2017-06-20,152.25,153.84,152.21,152.88,14743853
122,FB,2017-06-21,153.91,154.08,151.88,152.36,15039834
123,FB,2017-06-22,153.4,154.55,152.91,153.01,13005535
124,FB,2017-06-23,155.07,155.2,152.65,152.72,18026977
125,FB,2017-06-26,153.59,156.5,153.1954,156.25,18049651
126,FB,2017-06-27,150.58,153.31,150.39,152.84,19360766
127,FB,2017-06-28,153.24,153.47,149.86,150.92,16719104
128,FB,2017-06-29,151.04,152.5,148.9175,152.28,23973482
129,FB,2017-06-30,150.98,151.92,150.06,151.9,17666022
130,FB,2017-07-03,148.43,152.15,147.8,151.72,13862735
131,FB,2017-07-04,148.43,148.43,148.43,148.43,0
132,FB,2017-07-05,150.34,150.85,148.13,149.0,14334290
133,FB,2017-07-06,148.82,150.04,148.0,149.03,14951802
134,FB,2017-07-07,151.44,151.99,149.19,149.25,13615931
135,FB,2017-07-10,153.5,153.98,151.51,151.69,13378672
136,FB,2017-07-11,155.27,155.4225,152.91,153.37,13667744
137,FB,2017-07-12,158.9,159.16,156.2,156.49,22739388
138,FB,2017-07-13,159.26,159.78,158.4227,158.74,13929236
139,FB,2017-07-14,159.97,160.32,159.3254,160.13,16371206
140,FB,2017-07-17,159.73,160.78,158.81,160.25,12858836
141,FB,2017-07-18,162.86,163.73,159.42,159.66,23722910
142,FB,2017-07-19,164.14,165.7,163.17,163.59,26273642
143,FB,2017-07-20,164.53,165.0,162.81,164.8,18523107
144,FB,2017-07-21,164.43,165.05,163.75,164.16,14744002
145,FB,2017-07-24,166.0,166.17,164.31,164.64,17366971
