Date,AAPL,AMZN,FB,GLD,GOOG,NFLX
2017-01-03,116.15,753.67,116.86,110.47,786.14,127.49
2017-01-04,116.02,757.18,118.69,110.86,786.9,129.41
2017-01-05,116.61,780.45,120.67,112.58,794.02,131.81
2017-01-06,117.91,795.99,123.41,111.75,806.15,131.07
2017-01-09,118.99,796.92,124.9,112.67,806.65,130.95
2017-01-10,119.11,795.9,124.35,113.15,804.79,129.89
2017-01-11,119.75,799.02,126.09,113.5,807.91,130.5
2017-01-12,119.25,813.64,126.62,113.91,806.36,129.18
2017-01-13,119.04,817.14,128.34,114.21,807.88,133.7
2017-01-17,120.0,809.72,127.87,115.85,804.61,132.89
2017-01-18,119.99,807.48,127.92,114.87,806.07,133.26
2017-01-19,119.78,809.04,127.55,114.77,802.18,138.41
2017-01-20,120.0,808.33,127.04,115.05,805.02,138.6
2017-01-23,120.08,817.88,128.93,115.79,819.31,137.39
2017-01-24,119.97,822.44,129.37,115.27,823.87,140.11
2017-01-25,121.88,836.52,131.48,114.32,835.67,139.52
2017-01-26,121.94,839.15,132.78,113.26,832.15,138.96
2017-01-27,121.95,835.77,132.18,113.49,823.31,142.45
2017-01-30,121.63,830.38,130.98,113.97,802.32,141.22
2017-01-31,121.35,823.48,130.32,115.55,796.79,140.71
2017-02-01,128.75,832.35,133.23,115.2,795.7,140.78
2017-02-02,128.53,839.95,130.84,115.84,798.53,139.2
2017-02-03,129.08,810.2,130.98,116.13,801.49,140.25
2017-02-06,130.29,807.64,132.06,117.7,801.34,140.97
2017-02-07,131.53,812.5,131.84,117.46,806.97,144.0
2017-02-08,132.04,819.71,134.2,118.19,808.38,144.74
2017-02-09,132.42,821.36,134.14,117.29,809.56,144.14
2017-02-10,132.12,827.46,134.19,117.6,813.67,144.82
2017-02-13,133.29,836.53,134.05,116.8,819.24,143.2
2017-02-14,135.02,836.39,133.85,116.93,820.45,140.82
2017-02-15,135.51,842.7,133.44,117.45,818.98,142.27
2017-02-16,135.34,844.14,133.84,118.08,824.16,142.01
2017-02-17,135.72,845.07,133.53,117.68,828.07,142.22
2017-02-21,136.7,856.44,133.72,117.75,831.66,142.6
2017-02-22,137.11,855.61,136.12,117.91,830.76,143.86
2017-02-23,136.53,852.19,135.36,118.94,831.33,142.78
2017-02-24,136.66,845.24,135.44,119.7,828.64,143.25
2017-02-27,136.93,848.64,136.41,119.12,829.28,143.41
2017-02-28,136.99,845.04,135.54,119.23,823.21,142.13
2017-03-01,139.79,853.08,137.42,119.06,835.24,142.65
2017-03-02,138.96,848.91,136.76,117.58,830.63,139.53
2017-03-03,139.78,849.88,137.17,117.51,829.08,139.14
2017-03-06,139.34,846.61,137.42,116.72,827.78,141.94
2017-03-07,139.52,846.02,137.3,115.78,831.91,141.43
2017-03-08,139.0,850.5,137.72,115.06,835.37,140.32
2017-03-09,138.68,853.0,138.24,114.47,838.68,140.53
2017-03-10,139.14,852.46,138.79,114.72,843.25,140.89
2017-03-13,139.2,854.59,139.6,114.74,845.54,143.52
2017-03-14,138.99,852.53,139.32,114.12,845.62,143.19
2017-03-15,140.46,852.97,139.72,116.25,847.2,145.25
2017-03-16,140.69,853.42,139.99,116.73,848.78,144.39
2017-03-17,139.99,852.31,139.84,116.99,852.12,145.11
2017-03-20,141.46,856.97,139.94,117.56,848.4,145.83
2017-03-21,139.84,843.2,138.51,118.54,830.46,142.42
2017-03-22,141.42,848.06,139.59,118.83,829.59,142.65
2017-03-23,140.92,847.38,139.53,118.67,817.58,141.84
2017-03-24,140.64,845.61,140.34,118.86,814.43,142.02
2017-03-27,140.88,846.82,140.32,119.53,819.51,144.06
2017-03-28,143.8,856.0,141.76,119.04,820.92,145.17
2017-03-29,144.12,874.32,142.65,119.33,831.41,146.47
2017-03-30,143.93,876.34,142.41,118.47,831.5,148.06
2017-03-31,143.66,886.54,142.05,118.72,829.56,147.81
2017-04-03,143.7,891.51,142.28,119.35,838.55,146.92
2017-04-04,144.77,906.83,141.73,119.62,834.57,145.5
2017-04-05,144.02,909.28,141.85,119.62,831.41,143.62
2017-04-06,143.66,898.28,141.17,119.18,827.88,143.74
2017-04-07,143.34,894.88,140.78,119.46,824.67,143.11
2017-04-10,143.17,907.04,141.04,119.46,824.73,143.85
2017-04-11,141.63,902.36,139.92,121.19,823.35,144.35
2017-04-12,141.8,896.23,139.58,122.02,824.32,143.83
2017-04-13,141.05,884.67,139.39,122.6,823.56,142.92
2017-04-17,141.83,901.99,141.42,122.24,837.17,147.25
2017-04-18,141.2,903.78,140.96,122.82,836.82,143.36
2017-04-19,140.68,899.2,142.27,121.73,838.21,139.76
2017-04-20,142.44,902.06,143.8,121.96,841.65,141.18
2017-04-21,142.27,898.53,143.68,122.31,843.19,142.87
2017-04-24,143.64,907.41,145.47,121.48,862.76,143.83
2017-04-25,144.53,907.62,146.49,120.25,872.3,152.16
2017-04-26,143.68,909.29,146.56,120.84,871.73,150.17
2017-04-27,143.79,918.38,147.7,120.39,874.25,153.08
2017-04-28,143.65,924.99,150.25,120.77,905.96,152.2
2017-05-01,146.58,948.23,152.46,119.67,912.57,155.35
2017-05-02,147.51,946.94,152.78,119.65,916.44,156.45
2017-05-03,147.06,941.03,151.8,117.98,927.04,155.59
2017-05-04,146.53,937.53,150.85,116.79,931.66,157.25
